dataset,assignment,id,link,start,code,startAssignment
Fall2017,polygonMakerLab,a4ad6083-9385-4434-ad7f-1df488e01e24,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=a4ad6083-9385-4434-ad7f-1df488e01e24&assignment=polygonMakerLab&start=90419&end=93590&snapshots=true,90419,,
Fall2017,polygonMakerLab,a74d00ba-b741-450c-98f8-8d54de3e66ad,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=a74d00ba-b741-450c-98f8-8d54de3e66ad&assignment=polygonMakerLab&start=53935&end=65867&snapshots=true,53935,,
Fall2017,polygonMakerLab,abb2133f-354b-4098-831f-67699415018e,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=abb2133f-354b-4098-831f-67699415018e&assignment=none&start=69402&end=77697&snapshots=true,69402,,
Fall2017,polygonMakerLab,adcabbfb-dbcb-4e13-a300-34dd2246d457,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=adcabbfb-dbcb-4e13-a300-34dd2246d457&assignment=polygonMakerLab&start=94518&end=100504&snapshots=true,94518,,
Fall2017,polygonMakerLab,c1dad5ad-4e31-4286-9207-b1cc6c936aaf,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=c1dad5ad-4e31-4286-9207-b1cc6c936aaf&assignment=none&start=50359&end=60631&snapshots=true,50359,,
Fall2017,polygonMakerLab,c50563a3-0262-4644-93f8-a953e8308df6,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=c50563a3-0262-4644-93f8-a953e8308df6&assignment=polygonMakerLab&start=87599&end=93803&snapshots=true,87599,,
Fall2017,polygonMakerLab,c5bfcd12-19dd-4dc2-aedc-af29a05ae697,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=c5bfcd12-19dd-4dc2-aedc-af29a05ae697&assignment=polygonMakerLab&start=91349&end=94109&snapshots=true,91349,,
Fall2017,polygonMakerLab,ca23e735-bb8e-4fef-a467-87017a180513,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=ca23e735-bb8e-4fef-a467-87017a180513&assignment=polygonMakerLab&start=69828&end=77342&snapshots=true,69828,,
Fall2017,polygonMakerLab,d2616a41-88f7-436c-b33a-a4ed8d2ec401,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=d2616a41-88f7-436c-b33a-a4ed8d2ec401&assignment=polygonMakerLab&start=72327&end=79838&snapshots=true,72327,,
Fall2017,polygonMakerLab,d29dd80d-7d69-4177-8335-d3401190b118,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=d29dd80d-7d69-4177-8335-d3401190b118&assignment=polygonMakerLab&start=54960&end=61351&snapshots=true,54960,,
Fall2017,polygonMakerLab,d65786c8-65d8-43df-8214-f0973f585b88,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=d65786c8-65d8-43df-8214-f0973f585b88&assignment=polygonMakerLab&start=69316&end=79639&snapshots=true,69316,,
Fall2017,polygonMakerLab,e10c1806-5a2f-4630-870e-c3dee6d02520,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=e10c1806-5a2f-4630-870e-c3dee6d02520&assignment=polygonMakerLab&start=90422&end=93390&snapshots=true,90422,,
Fall2017,polygonMakerLab,edcdb696-dbf7-44f4-810a-cc3c97d8b9ea,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=edcdb696-dbf7-44f4-810a-cc3c97d8b9ea&assignment=polygonMakerLab&start=96429&end=100453&snapshots=true,96429,,
Fall2017,polygonMakerLab,f0a8526b-10ad-411c-aaca-5279cccdfc0c,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=f0a8526b-10ad-411c-aaca-5279cccdfc0c&assignment=polygonMakerLab&start=96275&end=97378&snapshots=true,96275,,
Fall2017,polygonMakerLab,f4b41a45-6b40-41b5-b7bf-f54fc118c247,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=f4b41a45-6b40-41b5-b7bf-f54fc118c247&assignment=polygonMakerLab&start=94520&end=98510&snapshots=true,94520,,
Fall2017,polygonMakerLab,f528dcdf-1648-4d47-8e25-412c828d8e5b,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=f528dcdf-1648-4d47-8e25-412c828d8e5b&assignment=polygonMakerLab&start=97213&end=100472&snapshots=true,97213,,
Fall2017,polygonMakerLab,f7f42a3f-50d2-4786-9ba0-7801b8625d58,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=f7f42a3f-50d2-4786-9ba0-7801b8625d58&assignment=polygonMakerLab&start=66259&end=74418&snapshots=true,66259,,
Fall2017,polygonMakerLab,ff896021-0fe3-4b2e-a61d-f4aedeffa0cb,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=ff896021-0fe3-4b2e-a61d-f4aedeffa0cb&assignment=polygonMakerLab&start=69335&end=74304&snapshots=true,69335,,
Fall2017,squiralHW,026354ab-3c19-4d9d-bb38-42eded85bd53,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=026354ab-3c19-4d9d-bb38-42eded85bd53&assignment=squiralHW&start=150033&end=171170&snapshots=true,150033,,
Fall2017,squiralHW,08646392-6262-4519-ab3c-9eb932436655,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=08646392-6262-4519-ab3c-9eb932436655&assignment=squiralHW&start=146421&end=146856&snapshots=true,146421,,
