dataset,assignment,id,link,start,code,
Spring2017,squiralHW,6ebe87c3-b76e-489b-a4be-a75b4ce4e3f8,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=6ebe87c3-b76e-489b-a4be-a75b4ce4e3f8&assignment=squiralHW&start=115013&end=115136&snapshots=true,115013,,
Spring2017,squiralHW,756cb47a-f61f-4756-ba0d-21c2ba156aa3,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=756cb47a-f61f-4756-ba0d-21c2ba156aa3&assignment=squiralHW&start=150293&end=151782&snapshots=true,150293,150293,
Spring2017,squiralHW,75cfb221-93fc-49e3-be05-43a4dd37bf50,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=75cfb221-93fc-49e3-be05-43a4dd37bf50&assignment=squiralHW&start=103754&end=104021&snapshots=true,103754,,
Spring2017,squiralHW,7c91bbde-2c55-45ac-aa38-d231e0807d40,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=7c91bbde-2c55-45ac-aa38-d231e0807d40&assignment=squiralHW&start=113690&end=114830&snapshots=true,113690,113690,
Spring2017,squiralHW,80f50c9e-4835-46f8-8f68-c9a0fc280ecc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=80f50c9e-4835-46f8-8f68-c9a0fc280ecc&assignment=squiralHW&start=74055&end=75048&snapshots=true,74055,,
Spring2017,squiralHW,94cbbf23-8eb0-4495-96a7-b8aaab3614f5,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=94cbbf23-8eb0-4495-96a7-b8aaab3614f5&assignment=squiralHW&start=111333&end=112745&snapshots=true,111333,111333,
Spring2017,squiralHW,95d5d616-14e0-4594-af6c-3c98afdc5b41,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=95d5d616-14e0-4594-af6c-3c98afdc5b41&assignment=squiralHW&start=152824&end=153500&snapshots=true,152824,,
Spring2017,squiralHW,9630f120-6071-4cde-81ab-9a11ef376dcc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=9630f120-6071-4cde-81ab-9a11ef376dcc&assignment=squiralHW&start=85566&end=86044&snapshots=true,85566,85588,
Spring2017,squiralHW,a2a7be98-5d2d-4c11-877b-5c67b340ef32,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=a2a7be98-5d2d-4c11-877b-5c67b340ef32&assignment=squiralHW&start=107871&end=107955&snapshots=true,107871,,
Spring2017,squiralHW,a779d741-1f4d-4256-857e-022028580610,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=a779d741-1f4d-4256-857e-022028580610&assignment=squiralHW&start=68646&end=70230&snapshots=true,68646,,
Spring2017,squiralHW,a97ad3d6-5c54-4e6f-9463-2afca34771fc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=a97ad3d6-5c54-4e6f-9463-2afca34771fc&assignment=squiralHW&start=98523&end=98982&snapshots=true,98523,,
Spring2017,squiralHW,ab6da9de-d1a7-4de0-902f-d7f3a3f2001e,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=ab6da9de-d1a7-4de0-902f-d7f3a3f2001e&assignment=squiralHW&start=86693&end=103752&snapshots=true,86693,,
Spring2017,squiralHW,b541d701-611b-4084-8fad-ef22d993a1ef,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=b541d701-611b-4084-8fad-ef22d993a1ef&assignment=squiralHW&start=103449&end=103581&snapshots=true,103449,103449,
Spring2017,squiralHW,b5c2e1a8-96d4-4bc5-a7c5-76c316233180,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=b5c2e1a8-96d4-4bc5-a7c5-76c316233180&assignment=squiralHW&start=137703&end=139012&snapshots=true,137703,,
Spring2017,squiralHW,bef983e0-6d52-43d1-8e13-ef9f201f4742,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=bef983e0-6d52-43d1-8e13-ef9f201f4742&assignment=squiralHW&start=138683&end=139214&snapshots=true,138683,138683,
Spring2017,squiralHW,c07f822f-5972-4e53-a071-1e1d73057f54,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=c07f822f-5972-4e53-a071-1e1d73057f54&assignment=squiralHW&start=98165&end=98506&snapshots=true,98165,,
Spring2017,squiralHW,c87035d6-f406-4598-8a36-0cb92e482650,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=c87035d6-f406-4598-8a36-0cb92e482650&assignment=squiralHW&start=98525&end=98983&snapshots=true,98525,98525,
Spring2017,squiralHW,cb28c665-f730-4672-95db-c97e7103b199,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=cb28c665-f730-4672-95db-c97e7103b199&assignment=squiralHW&start=96857&end=97835&snapshots=true,96857,,
Spring2017,squiralHW,d10f086d-ae35-4bde-884d-e9e0b3002044,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=d10f086d-ae35-4bde-884d-e9e0b3002044&assignment=squiralHW&start=83498&end=85591&snapshots=true,83498,,
Spring2017,squiralHW,df94fb6e-3aac-4a9f-81fb-ed3d0541e2c5,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=df94fb6e-3aac-4a9f-81fb-ed3d0541e2c5&assignment=squiralHW&start=103173&end=103280&snapshots=true,103173,,
Spring2017,squiralHW,e24a245d-5a60-4a45-be7e-948afdaef3dd,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=e24a245d-5a60-4a45-be7e-948afdaef3dd&assignment=squiralHW&start=100624&end=101283&snapshots=true,100624,,
